,image,mask
0,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju8auylgqx0z0871u4o4db7o.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju8auylgqx0z0871u4o4db7o.jpg
1,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/ck2bxiswtxuw80838qkisqjwz.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/ck2bxiswtxuw80838qkisqjwz.jpg
2,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/ck2da7fwcjfis07218r1rvm95.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/ck2da7fwcjfis07218r1rvm95.jpg
3,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5nyu31gv8e0871zpk74a2n.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5nyu31gv8e0871zpk74a2n.jpg
4,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2rpa30t07b0835im0erql0.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2rpa30t07b0835im0erql0.jpg
5,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cjyzjzssvd8pq0838f4nolj5l.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cjyzjzssvd8pq0838f4nolj5l.jpg
6,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5ukkg6kv7u08011x2b6zl5.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5ukkg6kv7u08011x2b6zl5.jpg
7,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2nyc5f02m40801ojqbtiea.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2nyc5f02m40801ojqbtiea.jpg
8,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju1h5w4wxajx0835mc954kxy.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju1h5w4wxajx0835mc954kxy.jpg
9,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju77196iyshb0850ycbto50a.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju77196iyshb0850ycbto50a.jpg
10,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju3v72v5h1qz0818fggilwtq.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju3v72v5h1qz0818fggilwtq.jpg
11,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5wcc90lu020850mjrxppv6.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5wcc90lu020850mjrxppv6.jpg
12,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju3uhb79gcgr0871orbrbi3x.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju3uhb79gcgr0871orbrbi3x.jpg
13,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2ouil2mssu0993hvxsed6d.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2ouil2mssu0993hvxsed6d.jpg
14,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju6wt9jvvn500871hjn3t3g0.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju6wt9jvvn500871hjn3t3g0.jpg
15,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju3521y5d5mq0878t3ezsu4p.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju3521y5d5mq0878t3ezsu4p.jpg
16,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju428k5fldt108177s6g6f45.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju428k5fldt108177s6g6f45.jpg
17,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju8bop5jrsid08716i24fqda.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju8bop5jrsid08716i24fqda.jpg
18,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju1ddr6p4k5z08780uuuzit2.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju1ddr6p4k5z08780uuuzit2.jpg
19,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2sggy13na70855tbeoqgha.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2sggy13na70855tbeoqgha.jpg
20,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5klveuff6w0871wbibgh3m.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5klveuff6w0871wbibgh3m.jpg
21,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju35atpxdjot0855q46aqrd0.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju35atpxdjot0855q46aqrd0.jpg
